title,year,dateLabel,description,category,mainImage,gallery,imageAlt,imageCaption,layoutType,featured,stat,statDescription,quote,quoteSource,linkUrl,linkLabel,sortOrder,published
Recognition in the Congressional Record and Second Fall Celebration,2023,November 2023,"Representative Elissa Slotkin entered a formal commendation of JLGLM into the Congressional Record. JLGLM also held its second annual Fall Celebration at Gregory's soul food restaurant.",Recognition,,,,,standard,true,,,,,,,110,true
Reparations Monday and Early Recurring Commitment,2023,December 2023,"JLGLM recognized Reparations Monday as a dedicated giving day. The Chronicle News reported more than $350,000 raised since founding, while Sycamore Creek United Methodist Church pledged 1% of its endowment annually for three years.",Faith partnerships,,,,,image-stat,true,$350000+,Raised since founding,,,,,120,true
The Cost of Inheritance Film Screening and Panel,2024,January 2024,"Nearly 100 people gathered for The Cost of Inheritance film screening and panel Q&A, featuring scholars and JLGLM leadership.",Public education,,,,,standard,false,,,,https://www.pbs.org,Watch panel discussion,130,true
How Did We Get Here? Part I,2024,February 2024,"The first annual panel at East Lansing Public Library launched a dialogue on local reparations and the racial wealth gap. The work helped establish a $350,000-plus endowment for economic justice.",Public education,,,,,image-stat,true,$350000+,Faith-based endowment,,,,,140,true
Unity Spiritual Center of Lansing Contributes,2024,March 2024,"Unity Spiritual Center of Lansing made a reparations contribution to the Justice League of Greater Lansing Michigan.",Faith partnerships,,,,,standard,false,,,,,,,150,true
National NPR Story,2024,April 2024,"NPR's All Things Considered featured a grassroots Michigan effort raising reparations while government action lagged.",Public education,,,,,standard,false,,,,https://www.npr.org,Read the NPR story,160,true
Mandela Washington Fellowship Collaboration,2024,April 2024,"JLGLM collaborated with Mandela Washington Fellowship participants at Michigan State University. Fellows produced a congratulatory video honoring inaugural scholarship recipients and helped secure a state proclamation.",Partnerships,,,,,quote-image,false,,,"Working with Prince Solace and the Justice League enriched our civic engagement institute and helped secure a proclamation from Governor Whitmer.",Mandela Washington Fellow,https://www.youtube.com,Watch Video,170,true
First Reparations Scholarship Disbursement,2024,August 2024,"JLGLM issued its first reparations-funded scholarships. Ten African American graduates each received $5,000 after essays, interviews, and verified enrollment. The recognition ceremony brought together students, families, clergy, and JLGLM leadership.",Education,,,,,image-stat,true,$50000,Ten $5000 scholarships,"We have made a start. We have affected this community.",Sophia Saliby,,,180,true
Unitarian Universalist Church of Greater Lansing Contributes,2024,September 2024,"UUCGL contributed through special plate collections and its Reparations Team, reporting a total reparation payment of $86,134.50.",Faith partnerships,,,,,image-stat,false,$86134.50,Total reparation payment,,,,,190,true
Third Annual Fall Celebration,2024,November 2024,"JLGLM held its third annual Fall Celebration at MSU Federal Credit Union headquarters, highlighting three years of fund growth, interfaith coalition building, and program delivery.",Community impact,,,,,quote-image,false,,,"Reparations are not merely financial, they are spiritual, communal acts of restoration.",Rev. Jihyun Oh,,,200,true
Reparations Monday and Public Education,2024,December 2024,"WILX reported JLGLM's year-over-year progress, including $50,000 in scholarships and the upcoming Farmland art exhibit at the Broad Art Museum.",Public education,,,,,image-stat,false,$50000,Scholarships highlighted in coverage,,,,,210,true
Reparations in Art and Public Discourse,2025,February 2025,"The Eli and Edythe Broad Art Museum opened Farmland: Food, Justice and Sovereignty, integrating JLGLM's historical framing with contemporary visual art.",Partnerships,,,,,quote-image,false,,,"This has been one of the most meaningful partnerships in my time at the MSU Broad Art Museum.",Dalina A. Perdomo Álvarez,,,220,true
First Home Build: Asset-Based Reparations,2025,April 2025,"JLGLM and the Eastside Community Action Center supported construction of a home for a senior African American first-time homebuyer on McCullough Street. ECAC provided homeowner training, savings support, and transition guidance.",Homeownership,,,,,image-stat,true,$70000,JLGLM reparations funds supporting construction,"Home ownership is possible for individuals who sincerely desire it and work toward it.",Dr. Stan Parker,,,230,true
Regional Juneteenth Collaboration,2025,June 2025,"JLGLM hosted a community session at Flint's 53rd Annual Traditional Juneteenth Celebration, extending educational reach and strengthening regional reparations networks.",Public education,,,,,standard,false,,,,,,,240,true
Justice League of Greater Kalamazoo Established,2025,July 2025,"Organizers formally launched the Justice League of Greater Kalamazoo after preparatory meetings with JLGLM leadership. This became the first confirmed regional adoption of Lansing's faith-based reparations structure.",Regional impact,,,,,quote-image,true,,,"This is a movement grounded in faith and accountability. Lansing can become a national model for reparative work.",Media remarks,,,250,true
Second Scholarship Cohort,2025,August 2025,"JLGLM awarded a second cohort of 10 African American students reparations-funded scholarships of $2,500 each. Recipients were selected through essays, interviews, and verified enrollment.",Education,,,,,image-stat,true,$25000,Ten $2500 scholarships,"Creating a platform where students could speak about intergenerational wealth gaps was very powerful.",Sophia Saliby,,,260,true
Second Home Build,2025,September 2025,"JLGLM advanced its homeownership pillar with a second reparations-supported home on McCullough Street, adjacent to the first home, again in partnership with ECAC.",Homeownership,,,,,image-stat,true,$70000,Approximate construction support,,,,,270,true
Fourth Anniversary Fall Celebration,2025,November 2025,"JLGLM's Fourth Anniversary Fall Celebration at MSU Federal Credit Union offered a four-year overview of fund development, scholarships, housing, coalition growth, and strategy. University United Methodist Church announced a $100,000 multi-year pledge.",Community impact,,,,,image-stat,true,$100000,University United Methodist Church pledge,,,,,280,true
How Did We Get Here? Part II and Stables Communities Foundation Support,2026,February 2026,"Part II at Delta Township District Library expanded church partnerships and grew the endowment to more than $500,000. The Stables Communities Foundation also recognized JLGLM as a grant recipient supporting advocacy, empowerment, and community strengthening.",Public education,,,,,image-stat,true,$500000+,Endowment reported on the page,,,,,290,true
